"lang","age","corpus","C_count","V_count","CP","Mad_syl_comp","Mad_C","Mad_VQ"
"Babatana",36,"Solomon",17,5,0.753846153846154,"Low","Moderately Small","Average"
"Babatana and Senga",24,"Solomon",17,5,0.481927710843373,"Low","Moderately Small","Average"
"English",14,"Seedlings",24,13,0.265848670756646,"High","Average","Large"
"English",13,"Seedlings",24,13,0.229591836734694,"High","Average","Large"
"English",10,"Seedlings",24,13,0.185378590078329,"High","Average","Large"
"English",7,"Seedlings",24,13,0.214442013129103,"High","Average","Large"
"English",7,"Seedlings",24,13,0.15512708150745,"High","Average","Large"
"English",15,"Seedlings",24,13,0.110831234256927,"High","Average","Large"
"English",9,"Seedlings",24,13,0.270363951473137,"High","Average","Large"
"English & Spanish",3,"Warlaumont",24,13,0.117647058823529,"High","Average","Large"
"English & Spanish",3,"Warlaumont",24,13,0.303571428571429,"High","Average","Large"
"English & Spanish",3,"Warlaumont",24,13,0.339622641509434,"High","Average","Large"
"French",36,"French",21,17,0.802469135802469,"High","Average","Large"
"French",12,"French",21,17,0.416666666666667,"High","Average","Large"
"French",24,"French",21,17,0.765625,"High","Average","Large"
"French",11.4409705099122,"French",21,17,0.382978723404255,"High","Average","Large"
"French",11.1450833415524,"French",21,17,0,"High","Average","Large"
"French",11.703981326232,"French",21,17,0.303030303030303,"High","Average","Large"
"French",11.703981326232,"French",21,17,0.106060606060606,"High","Average","Large"
"French",11.5724759180721,"French",21,17,0.375,"High","Average","Large"
"French",31.4,"French",21,17,0.652482269503546,"High","Average","Large"
"French",2,"French",21,17,0.32,"High","Average","Large"
"French",3,"French",21,17,0,"High","Average","Large"
"Quechua",23,"Cychosz",26,5,0.489028213166144,"Moderate","Moderately large","Average"
"Quechua",22,"Cychosz",26,5,0.322981366459627,"Moderate","Moderately large","Average"
"Quechua",25,"Cychosz",26,5,0.409448818897638,"Moderate","Moderately large","Average"
"Roviana",18,"Solomon",16,5,0.470588235294118,"Low","Moderately Small","Average"
"Roviana",21,"Solomon",16,5,0.341463414634146,"Low","Moderately Small","Average"
"Roviana",36,"Solomon",16,5,0.7875,"Low","Moderately Small","Average"
"Roviana",24,"Solomon",16,5,0.598684210526316,"Low","Moderately Small","Average"
"Senga",18,"Solomon",16,6,0.461538461538462,"Low","Moderately Small","Average"
"Senga",8,"Solomon",16,6,0.4,"Low","Moderately Small","Average"
"Tseltal",32,"Tseltal",25,5,0.48714069591528,"High","Average","Average"
"Tseltal",27,"Tseltal",25,5,0.481216457960644,"High","Average","Average"
"Tseltal",11,"Tseltal",25,5,0.380434782608696,"High","Average","Average"
"Tseltal",7,"Tseltal",25,5,0.118530884808013,"High","Average","Average"
"Tseltal",36,"Tseltal",25,5,0.608399545970488,"High","Average","Average"
"Tseltal",6,"Tseltal",25,5,0.163385826771654,"High","Average","Average"
"Tseltal",4,"Tseltal",25,5,0.216606498194946,"High","Average","Average"
"Tseltal",22,"Tseltal",25,5,0.402234636871508,"High","Average","Average"
"Tseltal",14,"Tseltal",25,5,0.278947368421053,"High","Average","Average"
"Tsimane",31.7333333333333,"Tsimane",25,18,0.219512195121951,"Moderate","Average","Average"
"Tsimane",36.5333333333333,"Tsimane",25,18,0.544303797468354,"Moderate","Average","Average"
"Tsimane",39.0666666666667,"Tsimane",25,18,0.447368421052632,"Moderate","Average","Average"
"Tsimane",32.5333333333333,"Tsimane",25,18,0.358208955223881,"Moderate","Average","Average"
"Tsimane",30.5666666666667,"Tsimane",25,18,0.26,"Moderate","Average","Average"
"Tsimane",19.7333333333333,"Tsimane",25,18,0.188679245283019,"Moderate","Average","Average"
"Tsimane",37,"Tsimane",25,18,0.439024390243902,"Moderate","Average","Average"
"Tsimane",24.3666666666667,"Tsimane",25,18,0.469879518072289,"Moderate","Average","Average"
"Tsimane",15.4666666666667,"Tsimane",25,18,0.354838709677419,"Moderate","Average","Average"
"Tsimane",33.0333333333333,"Tsimane",25,18,0.420289855072464,"Moderate","Average","Average"
"Tsimane",30.8333333333333,"Tsimane",25,18,0.444444444444444,"Moderate","Average","Average"
"Tsimane",24.6333333333333,"Tsimane",25,18,0.306666666666667,"Moderate","Average","Average"
"Tsimane",20.0333333333333,"Tsimane",25,18,0.280701754385965,"Moderate","Average","Average"
"Tsimane",15.4333333333333,"Tsimane",25,18,0.261538461538462,"Moderate","Average","Average"
"Tsimane",18.3333333333333,"Tsimane",25,18,0.220779220779221,"Moderate","Average","Average"
"Tsimane",28.3333333333333,"Tsimane",25,18,0.468085106382979,"Moderate","Average","Average"
"Tsimane",21.7666666666667,"Tsimane",25,18,0.480769230769231,"Moderate","Average","Average"
"Tsimane",8.2,"Tsimane",25,18,0.307692307692308,"Moderate","Average","Average"
"Ughele",12,"Solomon",18,5,0.403225806451613,"Low","Moderately Small","Average"
"Yélî",7.9,"Yélî",56,38,0.318181818181818,"Low","Large","Large"
"Yélî",9,"Yélî",56,38,0.549450549450549,"Low","Large","Large"
"Yélî",12.6,"Yélî",56,38,0.35,"Low","Large","Large"
"Yélî",13.1,"Yélî",56,38,0.450704225352113,"Low","Large","Large"
"Yélî",13.7,"Yélî",56,38,0.474576271186441,"Low","Large","Large"
"Yélî",14.5,"Yélî",56,38,0.351851851851852,"Low","Large","Large"
"Yélî",15.1,"Yélî",56,38,0.448717948717949,"Low","Large","Large"
"Yélî",15.5,"Yélî",56,38,0.672727272727273,"Low","Large","Large"
"Yélî",16.2,"Yélî",56,38,0.513513513513513,"Low","Large","Large"
"Yélî",16.6,"Yélî",56,38,0.416666666666667,"Low","Large","Large"
"Yélî",20.2,"Yélî",56,38,0.511111111111111,"Low","Large","Large"
"Yélî",23.5,"Yélî",56,38,0.543478260869565,"Low","Large","Large"
"Yélî",26.1,"Yélî",56,38,0.73015873015873,"Low","Large","Large"
"Yélî",26.3,"Yélî",56,38,0.72,"Low","Large","Large"
"Yélî",9.2,"Yélî",56,38,0.378048780487805,"Low","Large","Large"
"Yélî",29.1,"Yélî",56,38,0.626086956521739,"Low","Large","Large"
"Yélî",32.5,"Yélî",56,38,0.632478632478632,"Low","Large","Large"
"Yélî",34.9,"Yélî",56,38,0.5125,"Low","Large","Large"
"Yélî",37.6,"Yélî",56,38,0.596638655462185,"Low","Large","Large"
"Yélî",27.6,"Yélî",56,38,0.553846153846154,"Low","Large","Large"
